# Time          5.0000E+02
# Units: Mol/kgw
    Distance           H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18        
    1.5400000E-01   -2.9106453E-03    1.0569750E-02    1.4549376E-03    2.6079577E-02    1.1773516E-03    5.3326402E-05    2.6239134E-02    1.0000000E-08    1.1941802E+00    1.0000003E+00    2.0468685E-03
    1.5800000E-01   -2.9846275E-03    1.0717715E-02    1.4919287E-03    2.6061362E-02    1.1765661E-03    5.3294950E-05    2.6221174E-02    1.0000000E-08    1.1940323E+00    1.0000003E+00    2.0468634E-03
    1.6200000E-01   -3.0585289E-03    1.0865518E-02    1.5288794E-03    2.6043167E-02    1.1757814E-03    5.3263464E-05    2.6203235E-02    1.0000000E-08    1.1938845E+00    1.0000003E+00    2.0468585E-03
    1.6600000E-01   -3.1323497E-03    1.1013159E-02    1.5657898E-03    2.6024993E-02    1.1749975E-03    5.3231946E-05    2.6185314E-02    1.0000000E-08    1.1937368E+00    1.0000003E+00    2.0468536E-03
    1.7000000E-01   -3.2060899E-03    1.1160640E-02    1.6026599E-03    2.6006838E-02    1.1742145E-03    5.3200396E-05    2.6167413E-02    1.0000000E-08    1.1935894E+00    1.0000003E+00    2.0468487E-03
    1.7400000E-01   -3.2797494E-03    1.1307959E-02    1.6394896E-03    2.5988703E-02    1.1734323E-03    5.3168815E-05    2.6149532E-02    1.0000000E-08    1.1934420E+00    1.0000003E+00    2.0468440E-03
    1.7800000E-01   -3.3533283E-03    1.1455116E-02    1.6762791E-03    2.5970589E-02    1.1726509E-03    5.3137205E-05    2.6131670E-02    1.0000000E-08    1.1932949E+00    1.0000003E+00    2.0468393E-03
    1.8200000E-01   -3.4268267E-03    1.1602113E-02    1.7130283E-03    2.5952494E-02    1.1718704E-03    5.3105566E-05    2.6113828E-02    1.0000000E-08    1.1931479E+00    1.0000003E+00    2.0468347E-03
    1.8600000E-01   -3.5002444E-03    1.1748949E-02    1.7497371E-03    2.5934419E-02    1.1710907E-03    5.3073899E-05    2.6096005E-02    1.0000000E-08    1.1930011E+00    1.0000003E+00    2.0468301E-03
    1.9000000E-01   -3.5735816E-03    1.1895623E-02    1.7864057E-03    2.5916364E-02    1.1703119E-03    5.3042205E-05    2.6078202E-02    1.0000000E-08    1.1928544E+00    1.0000003E+00    2.0468256E-03
    1.9400000E-01   -3.6468383E-03    1.2042136E-02    1.8230341E-03    2.5898329E-02    1.1695339E-03    5.3010485E-05    2.6060418E-02    1.0000000E-08    1.1927079E+00    1.0000003E+00    2.0468212E-03
    1.9800000E-01   -3.7200144E-03    1.2188489E-02    1.8596221E-03    2.5880314E-02    1.1687568E-03    5.2978739E-05    2.6042654E-02    1.0000000E-08    1.1925615E+00    1.0000003E+00    2.0468168E-03
    2.0200000E-01   -3.7931100E-03    1.2334680E-02    1.8961700E-03    2.5862319E-02    1.1679804E-03    5.2946970E-05    2.6024909E-02    1.0000000E-08    1.1924153E+00    1.0000003E+00    2.0468126E-03
