# Time          1.0000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18            OH-          
    1.3800000E-01    1.2220624E+01   -1.2141482E+01   -1.6382599E+00   -2.3407817E+00   -1.6098629E+00   -2.9544410E+00   -4.2991259E+00   -1.6068460E+00   -7.9999999E+00    7.2525373E-02    9.9191046E-08   -2.6889030E+00   -2.0397151E+00
    1.4200000E-01    1.2232844E+01   -1.2153723E+01   -1.6285737E+00   -2.3286095E+00   -1.6109910E+00   -2.9555281E+00   -4.3001928E+00   -1.6079556E+00   -7.9999999E+00    7.2334686E-02    1.0134578E-07   -2.6889040E+00   -2.0275438E+00
    1.4600000E-01    1.2244715E+01   -1.2165615E+01   -1.6191126E+00   -2.3167864E+00   -1.6121203E+00   -2.9566163E+00   -4.3012615E+00   -1.6090665E+00   -7.9999999E+00    7.2144198E-02    1.0346607E-07   -2.6889051E+00   -2.0157217E+00
    1.5000000E-01    1.2256256E+01   -1.2177177E+01   -1.6098670E+00   -2.3052938E+00   -1.6132508E+00   -2.9577057E+00   -4.3023318E+00   -1.6101785E+00   -7.9999999E+00    7.1953915E-02    1.0555234E-07   -2.6889061E+00   -2.0042300E+00
    1.5400000E-01    1.2267483E+01   -1.2188426E+01   -1.6008280E+00   -2.2941144E+00   -1.6143824E+00   -2.9587962E+00   -4.3034037E+00   -1.6112916E+00   -7.9999999E+00    7.1763840E-02    1.0760505E-07   -2.6889071E+00   -1.9930515E+00
    1.5800000E-01    1.2278413E+01   -1.2199377E+01   -1.5919869E+00   -2.2832325E+00   -1.6155153E+00   -2.9598877E+00   -4.3044772E+00   -1.6124059E+00   -7.9999999E+00    7.1573979E-02    1.0962464E-07   -2.6889081E+00   -1.9821704E+00
    1.6200000E-01    1.2289060E+01   -1.2210045E+01   -1.5833359E+00   -2.2726333E+00   -1.6166493E+00   -2.9609803E+00   -4.3055523E+00   -1.6135213E+00   -7.9999999E+00    7.1384338E-02    1.1161154E-07   -2.6889091E+00   -1.9715719E+00
    1.6600000E-01    1.2299438E+01   -1.2220444E+01   -1.5748674E+00   -2.2623031E+00   -1.6177844E+00   -2.9620740E+00   -4.3066289E+00   -1.6146377E+00   -7.9999999E+00    7.1194920E-02    1.1356619E-07   -2.6889100E+00   -1.9612425E+00
    1.7000000E-01    1.2309559E+01   -1.2230587E+01   -1.5665745E+00   -2.2522293E+00   -1.6189206E+00   -2.9631686E+00   -4.3077070E+00   -1.6157552E+00   -7.9999999E+00    7.1005731E-02    1.1548900E-07   -2.6889110E+00   -1.9511694E+00
    1.7400000E-01    1.2319436E+01   -1.2240485E+01   -1.5584503E+00   -2.2424002E+00   -1.6200579E+00   -2.9642642E+00   -4.3087866E+00   -1.6168737E+00   -7.9999999E+00    7.0816776E-02    1.1738041E-07   -2.6889119E+00   -1.9413410E+00
